Account Name,Industry Sector,Days of Data,Number of Clients,Total Critical Roaming Minutes,Average Critical Roaming Minutes per Client per Day,Total Critical Coverage Minutes,Average Critical Coverage Minutes per Client per Day,Total Critical Congestion Minutes,Average Critical Congestion Minutes per Client per Day,Total Critical Co-Channel Interference Minutes,Average Critical Co-Channel Interference Minutes per Client per Day,Total Critical Adjacent Channel Interference Minutes,Average Critical Adjacent Channel Interference Minutes per Client per Day,Total Critical RF Problem Minutes,Average Critical RF Problem Minutes per Client per Day,Total Average Critical Minutes per Client per Day,Total Average Critical Hours per Client per Day,Total Critical Hours Identified per Day
ABM,Enterprise Office Space,30,4.0,372.0,3.1,165.0,1.375,0.0,0.0,511.0,4.258333333333334,3574.0,29.783333333333335,1.0,0.008333333333333333,38.525,0.6420833333333333,2.5683333333333334
Advent,Hospital Healthcare,30,482.0,61412.0,4.247026279391425,228886.0,15.828907330567082,,,24253.0,1.6772475795297372,137967.0,9.541286307053943,,,31.29446749654219,0.5215744582757031,251.3988888888889
Airbnb,Enterprise Office Space,30,,,,,,,,,,,,,,0.0,0.0,
Alberta,Hospital Healthcare,30,17.0,721.0,1.4137254901960785,18228.0,35.741176470588236,,,11586.0,22.717647058823527,10408.0,20.407843137254904,,,80.28039215686275,1.3380065359477125,22.746111111111112
AlexLee,Enterprise Office Space,30,142.0,2076.0,0.4873239436619718,6511.0,1.5284037558685446,9.0,0.002158273381294964,11341.0,2.662206572769953,67387.0,15.818544600938967,49.0,0.011750599520383691,20.510387746141113,0.3418397957690186,48.541250999200635
AllEnglandLawnTennis,High Density Large Venue,30,23.0,646.0,0.936231884057971,505.0,0.7318840579710144,,,373.0,0.5405797101449274,96.0,0.1391304347826087,,,2.3478260869565215,0.03913043478260869,0.8999999999999999
Alnylam,Manufacturing/Distribution,30,910.0,41601.0,1.5238461538461539,6785.0,0.24853479853479854,0.0,0.0,17223.0,0.6322687224669604,62149.0,2.281534508076358,0.0,0.0,4.68618418292427,0.07810306971540451,71.07379344101811
AMD,Manufacturing/Distribution,30,1294.0,54383.0,1.4009015971148893,98930.0,2.548428645028336,2065.0,0.05969933506793871,301549.0,7.761879021879022,79321.0,2.0417245817245817,6065.0,0.17533969355305004,13.987972874367818,0.23313288123946363,301.67394832386594
AmericanFid,Enterprise Office Space,30,8.0,75.0,0.3125,62.0,0.25833333333333336,0.0,0.0,72.0,0.3,4144.0,17.266666666666666,0.0,0.0,18.1375,0.3022916666666667,2.4183333333333334
AmericanUniv,Higher Education,30,2.0,44.0,0.7333333333333333,196.0,3.2666666666666666,0.0,0.0,4.0,0.06666666666666667,3.0,0.05,0.0,0.0,4.116666666666666,0.06861111111111111,0.13722222222222222
